File: freesound_community-woman-laugh-6421.wav | Nhãn gốc: custom_dataset | AI đoán: Speech (0.41)
File: spinopel-hand-lettering-with-marker-pen-345733.wav | Nhãn gốc: Clicking | AI đoán: Rub (0.85)
File: freesound_community-pen-paper-16759.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.50)
File: spinopel-dog-pen-393128.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.85)
File: oxidvideos-signature-189086.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.80)
File: freesound_community-pen-lid-42703.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.20)
File: freesound_community-ppap-instrumental-remake-71437.wav | Nhãn gốc: Clicking | AI đoán: Ringtone (0.50)
File: freesound_community-pen-clicks-87488.wav | Nhãn gốc: Clicking | AI đoán: Finger snapping (0.94)
File: shut_up_ghost-scribbling-sound-effect-140926.wav | Nhãn gốc: Clicking | AI đoán: Typing (0.26)
File: freesound_community-pen-click-99025.wav | Nhãn gốc: Clicking | AI đoán: Scissors (0.26)
File: freesound_community-writing-65684.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.26)
File: soul_serenity_sounds-airvent-hum-faint-creaking-as-air-passes-through-344181.wav | Nhãn gốc: Clicking | AI đoán: Vehicle (0.20)
File: freesound_community-pen_writing_on_paper_2-72780.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.20)
File: freesound_community-canetapen-70080.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.80)
File: freesound_community-clicking-a-pen-71265.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.26)
File: soul_serenity_sounds-office_writing_penonpaper-337185.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.50)
File: freesound_community-hyacinthe_ball-point-pen-print-writing-paper-hard-surface_edited-95108.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.59)
File: dallonprofe-student-getting-a-pen-291788.wav | Nhãn gốc: Clicking | AI đoán: Fly, housefly (0.41)
File: freesound_community-pen-writing-on-paper-46352.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.11)
File: freesound_community-short-squeaky-sharpie-edding-pen-95685.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.41)
File: freesound_community-ppap-instrumental-remake-71437 (1).wav | Nhãn gốc: Clicking | AI đoán: Ringtone (0.50)
File: freesound_community-pen-clicking-45960.wav | Nhãn gốc: Clicking | AI đoán: Finger snapping (0.26)
File: freesound_community-the-writing-of-an-ink-pen-27504.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.26)
File: freesound_community-pen-colouring-34227.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.74)
File: freesound_community-pen-click-67799.wav | Nhãn gốc: Clicking | AI đoán: Coin (dropping) (0.15)
File: freesound_community-047854_pen-clickwav-75583.wav | Nhãn gốc: Clicking | AI đoán: Camera (0.08)
File: spinopel-turn-on-the-flashlight-411758.wav | Nhãn gốc: Clicking | AI đoán: Cap gun (0.26)
File: cryptologymedia-writing-155389.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.59)
File: freesound_community-ink-pens-44737.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.26)
File: freesound_community-pen-cap-38218.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.33)
File: soundreality-pen-click-2-411631.wav | Nhãn gốc: Clicking | AI đoán: Coin (dropping) (0.15)
File: freesound_community-tiny-splash-83778.wav | Nhãn gốc: Clicking | AI đoán: Liquid (0.33)
File: freesound_community-tossing-pen-down-78369.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.41)
File: freesound_community-026204_fast-writing-pen-to-paper-62247.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.33)
File: vikukachannel-escribir-dibujar-garabatear-writing-drawing-171043.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.20)
File: freesound_community-scribble-6144.wav | Nhãn gốc: Clicking | AI đoán: Scratch (0.74)
File: blendertimer-pen-drops-245172.wav | Nhãn gốc: Clicking | AI đoán: Sound effect (0.26)
File: freesound_community-writing-34665.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.50)
File: kuzu420-writing-on-paper-263222.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.41)
File: freesound_community-writing-on-paper-6988.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.41)
File: freesound_community-pen-click-64404.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.74)
File: crochet_photo_video-signing-a-signature-527211.wav | Nhãn gốc: Clicking | AI đoán: Fart (0.15)
File: freesound_community-hyacinthe_ball-point-pen-print-writing-paper-hard-surface_edited-95108 (1).wav | Nhãn gốc: Clicking | AI đoán: Silence (0.59)
File: u_xg7ssi08yr-writing-with-pencil-411721.wav | Nhãn gốc: Clicking | AI đoán: Zipper (clothing) (0.15)
File: freesound_community-underlining-stroke-on-paper-45072.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.15)
File: sound_garage-pen-signature-1-395487.wav | Nhãn gốc: Clicking | AI đoán: Rub (0.89)
File: freesound_community-som-imagem-29437.wav | Nhãn gốc: Clicking | AI đoán: Speech (0.74)
File: freesound_community-pen-clicking-44864.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.11)
File: freesound_community-writting-78042.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.20)
File: sound_garage-pen-signature-5-395486.wav | Nhãn gốc: Clicking | AI đoán: Zipper (clothing) (0.06)
File: freesound_community-pen-click-compressed-61220.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.11)
File: freesound_community-writing-with-pen-55361.wav | Nhãn gốc: Clicking | AI đoán: Stomach rumble (0.67)
File: freesound_community-rummaging-a-bucket-of-pens-102455.wav | Nhãn gốc: Clicking | AI đoán: Gunshot, gunfire (0.33)
File: freesound_community-scribble_long_strokes-73965.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.26)
File: freesound_community-pen-write-35730.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.41)
File: freesound_community-writing_on_notepad_offscreen_with_pen-90544.wav | Nhãn gốc: Clicking | AI đoán: Speech (0.08)
File: freesound_community-marker-lineswav-14823.wav | Nhãn gốc: Clicking | AI đoán: Wild animals (0.20)
File: freesound_community-throwing-pens-27012.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.20)
File: freesound_community-pen-drop-on-desk-63410.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.80)
File: freesound_community-open-and-close-pen-72538.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.11)
File: freesound_community-signing_pen-47500.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.80)
File: freesound_community-pincel-en-lienzo-100953.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.26)
File: little_creativity-clicking-pen-clicking-236814.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.11)
File: freesound_community-clicking-a-pen-83669.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.33)
File: freesound_community-manuseandoestojo-45106.wav | Nhãn gốc: Clicking | AI đoán: Fart (0.59)
File: freesound_community-clicking-pen-95508.wav | Nhãn gốc: Clicking | AI đoán: Typing (0.20)
File: freesound_community-hyacinthe_ball-point-pen-writing-print-on-paper-2_edited-26542.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.67)
File: freesound_community-pen-sound-2-97864.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.11)
File: freesound_community-scribble_short-104286.wav | Nhãn gốc: Clicking | AI đoán: Writing (0.33)
File: freesound_community-fast-and-slow-marker-strokes-82047.wav | Nhãn gốc: Clicking | AI đoán: Spray (0.41)
File: freesound_community-drawing-87057 (1).wav | Nhãn gốc: Clicking | AI đoán: Animal (0.26)
File: freesound_community-pen-scribbles-3wav-25728.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.41)
File: freesound_community-pen-click-102460.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.20)
File: soul_serenity_sounds-clock-livingroom-gentle-clicks-alongside-the-ticking-344179.wav | Nhãn gốc: Clicking | AI đoán: Camera (0.15)
File: freesound_community-039494_wacom-pen-003m4a-64420.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.41)
File: magiaz-passarinho-325866.wav | Nhãn gốc: Clicking | AI đoán: Animal (0.85)
File: freesound_community-pen-writing-on-paper-71212.wav | Nhãn gốc: Clicking | AI đoán: Silence (0.50)
File: freesound_community-open-and-close-pen-72538 (1).wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.11)
File: freesound_community-pen-open-and-close-40631.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.33)
File: freesound_community-plastic-pen-ticking-and-scraping-on-pottery-22646.wav | Nhãn gốc: Clicking | AI đoán: Glass (0.26)
File: freesound_community-pen-clicks-gain_01-107401.wav | Nhãn gốc: Clicking | AI đoán: Inside, small room (0.26)
File: freesound_community-1x_telefoon-93888.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.92)
File: universfield-ringtone-060-495415.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.59)
File: freesound_community-026193_phone-rings-from-ear-piece-speakerwav-62029 (1).wav | Nhãn gốc: Telephone bell ringing | AI đoán: Speech (0.08)
File: freesound_community-despertador_robotica_almalaut-80621.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.11)
File: freesound_community-despertador_agua_almalaut-31195.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Wood block (0.33)
File: freesound_community-telephone3-60626.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.26)
File: freesound_community-ringtone2-39981.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.96)
File: freesound_community-synthring-107189.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Synthesizer (0.41)
File: dragon-studio-phone-vibration-372472.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Vehicle horn, car horn, honking (0.15)
File: kalsstockmedia-old-telephone-ring-2-259004 (1).wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.50)
File: freesound_community-022059_old-rotary-phone-ringing-68614.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.80)
File: freesound_community-irish_ring-91815.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.80)
File: magiaz-phone_ring-437402.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Beep, bleep (0.85)
File: magiaz-phone_ring-437394.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (1.00)
File: universfield-ringtone-051-494663.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.98)
File: freesound_community-rotary-phone-ring-long-84542.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.99)
File: universfield-ringtone-012-149904.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.26)
File: universfield-ringtone-061-495414.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.85)
File: freesound_community-bellwav-14687.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.59)
File: scottishperson-sound-effect-old-phone-191761.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.94)
File: freesound_community-telephone-ring-old-german-w48-83246.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm clock (0.26)
File: freesound_community-050621_digital-phone-ring_bipwav-94179.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.80)
File: universfield-ringtone-056-494941.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.97)
File: freesound_community-recepcion_mensaje_robotica_almalaut-80619.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.08)
File: freesound_community-office_phone-ring_medium-loudaif-14604.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.50)
File: freesound_community-intergalactic-alarm-for-smartphone-71104.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.41)
File: freesound_community-telephone-electronic-42654.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.98)
File: freesound_community-electronic-phone-ringer-105232.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.41)
File: dragon-studio-phone-ringing-382734.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.80)
File: freesound_community-simple-ringtone-84595.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.85)
File: kalsstockmedia-old-telephone-ring-2-259004.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.50)
File: freesound_community-hey-there-63200.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.99)
File: freesound_community-phone-ring-over-speaker-70244.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Inside, small room (0.15)
File: freesound_community-caller-ring-89254.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.26)
File: freesound_community-ring-tone-68676.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.98)
File: freesound_community-cell-phone-dial-6716.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.20)
File: freesound_community-phone-ringing-7006.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.41)
File: freesound_community-dorleans_danielle_2019_2020_phonetone-40457.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Sine wave (0.99)
File: freesound_community-noanswer-33477.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Speech (0.89)
File: universfield-ringtone-080-496338.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Mallet percussion (0.74)
File: freesound_community-apertura_aplicacion_agua_almalaut-80624.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Chewing, mastication (0.33)
File: universfield-ringtone-033-480583.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.80)
File: universfield-ringtone-078-496337.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.85)
File: freesound_community-phonering-92203.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.97)
File: freesound_community-phonering-90425.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Synthesizer (0.67)
File: universfield-ringtone-081-496336.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Ringtone (0.74)
File: freesound_community-cell-phone-ring-in-ear_bip-79193.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.96)
File: universfield-ringtone-054-494942.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.80)
File: freesound_community-phone-rings-102910.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Outside, rural or natural (0.11)
File: freesound_community-the-sound-of-the-italian-ministry-of-foreign-affairs-17268 (1).wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.80)
File: universfield-ringtone-086-496367.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.74)
File: mabelamber-vintage-phone-ringing-121778.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.94)
File: freesound_community-special-ringtone-77044.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.80)
File: freesound_community-kilavuz_berivan_2014_sound1_alarm-85060.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Busy signal (0.67)
File: dragon-studio-phone-vibrating-372478.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Grunt (0.59)
File: freesound_community-80s_car_phone1-92107.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.15)
File: freesound_community-mobile-phone-ringtone-6769.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.94)
File: freesound_community-the-sound-of-the-italian-ministry-of-foreign-affairs-17268.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.80)
File: freesound_community-01-triangle-75467.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.33)
File: freesound_community-80s_car_phone2-92108.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.15)
File: freesound_community-phone-ringing-sound-6281.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.97)
File: edr-synth-telephone-ring-001-8434 (1).wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.74)
File: freesound_community-phone-ring-office-77mel-191019-62216.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.98)
File: freesound_community-ringtone-kitchen-phone-take-1-25488.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (1.00)
File: virtual_vibes-telephone-ringing-old-vintage-376164.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Speech (0.20)
File: freesound_community-vibrating-phone-74788.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.26)
File: freesound_community-telefono-70942.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.85)
File: universfield-phone-ringing-229175 (1).wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.96)
File: freesound_community-recepcion_mensaje_agua_almalaut-80620.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.67)
File: freesound_community-cellphone-ringing-6475.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.98)
File: edr-synth-telephone-ring-001-8434.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm (0.74)
File: liecio-phone-ringing-marimba-189736.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Ringtone (0.59)
File: freesound_community-toy_phone-87482.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Cash register (0.80)
File: freesound_community-ringtone-89218.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.59)
File: freesound_community-phone-outgoing-call-72202.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.92)
File: universfield-ringtone-09-151767.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone bell ringing (0.50)
File: freesound_community-026193_phone-rings-from-ear-piece-speakerwav-62029.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Speech (0.08)
File: lucadialessandro-unavailable-phone-192489.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Busy signal (0.50)
File: universfield-phone-ringing-229175.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (0.96)
File: freesound_community-rotary-phone-ring-medium-103869.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Telephone (1.00)
File: freesound_community-phone-ringing-101221.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (0.15)
File: freesound_community-telefone-65470.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.41)
File: 11325622-old-school-ringtone-241384.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Ringtone (0.67)
File: kalsstockmedia-old-telephone-ring-1-259003.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Alarm clock (0.26)
File: freesound_community-who-the-crud-keeps-calling-the-house-76047.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Beep, bleep (0.33)
File: freesound_community-phone-call-94426.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Busy signal (0.85)
File: freesound_community-motorola_ultra_classic-92260.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Silence (0.80)
File: freesound_community-phone-ringtone-97001.wav | Nhãn gốc: Telephone bell ringing | AI đoán: Music (1.00)
File: soul_serenity_sounds-book-livingroom-warm-creak-of-leather-cover-opening-and-closing-344158 (1).wav | Nhãn gốc: bookflip | AI đoán: Tearing (0.33)
File: pwlpl-paper-page-flip-and-document-rustle-481168.wav | Nhãn gốc: bookflip | AI đoán: Tearing (0.15)
File: floraphonic-large-pamphlet-paper-foley-2-195977 (1).wav | Nhãn gốc: bookflip | AI đoán: Crumpling, crinkling (0.41)
File: freesound_community-book-100456.wav | Nhãn gốc: bookflip | AI đoán: Writing (0.33)
File: 32569959-page-flipping-foley-sound-fx-144160.wav | Nhãn gốc: bookflip | AI đoán: Crackle (0.41)
File: freesound_community-book_pages-17279.wav | Nhãn gốc: bookflip | AI đoán: Silence (0.50)
File: freesound_community-pagessounds-57376.wav | Nhãn gốc: bookflip | AI đoán: Silence (0.59)
File: soul_serenity_sounds-book-livingroom-warm-creak-of-leather-cover-opening-and-closing-344158.wav | Nhãn gốc: bookflip | AI đoán: Tearing (0.33)
File: freesound_community-phone-book-fast-filpping-46284.wav | Nhãn gốc: bookflip | AI đoán: Crumpling, crinkling (0.41)
File: freesound_community-flipping-through-a-book-45182.wav | Nhãn gốc: bookflip | AI đoán: Walk, footsteps (0.50)
File: freesound_community-flip-page-105778.wav | Nhãn gốc: bookflip | AI đoán: Coin (dropping) (0.26)
File: freesound_community-turning-pages-32451.wav | Nhãn gốc: bookflip | AI đoán: Silence (0.74)
File: freesound_community-paper-sketchbook-page-flips-2-103706.wav | Nhãn gốc: bookflip | AI đoán: Tearing (0.33)
File: freesound_community-bookpageshuffle-106111.wav | Nhãn gốc: bookflip | AI đoán: Chewing, mastication (0.33)
File: freesound_community-paper-67680.wav | Nhãn gốc: bookflip | AI đoán: Tearing (0.33)
File: freesound_community-small-page-103398.wav | Nhãn gốc: bookflip | AI đoán: Inside, small room (0.15)
File: freesound_community-flipping-magazine-pages-61814.wav | Nhãn gốc: bookflip | AI đoán: Silence (0.59)
File: freesound_community-flipping-through-pages-2-17483.wav | Nhãn gốc: bookflip | AI đoán: Silence (0.11)
File: freesound_community-flipping-through-a-bookmp3-14415.wav | Nhãn gốc: bookflip | AI đoán: Crumpling, crinkling (0.59)
File: floraphonic-book-foley-turn-pages-6-189810.wav | Nhãn gốc: bookflip | AI đoán: Crackle (0.33)
